timestamp,battery_level,battery_voltage,solar_panel_on,heating_pad_on,temperature
80,12.6,True,False,21.5,2025-04-29 00:09:18
80,12.6,True,False,21.5,2025-04-29 00:09:23
80,12.6,True,False,21.5,2025-04-29 00:09:28
80,12.6,True,False,21.5,2025-04-29 00:09:33
80,12.6,True,False,21.5,2025-04-29 00:09:38
80,12.6,True,False,21.5,2025-04-29 00:09:43
80,12.6,True,False,21.5,2025-04-29 00:09:48
80,12.6,True,False,21.5,2025-04-29 00:09:53
80,12.6,True,False,21.5,2025-04-29 00:09:58
80,12.6,True,False,21.5,2025-04-29 00:10:03
80,12.6,True,False,21.5,2025-04-29 00:10:42
79,12.58,True,False,21.5,2025-04-29 00:11:56
